Order ID,Date,Customer ID,Product,Category,Region,Quantity,Price,Total Revenue
O100000,2024-05-10,C1051,Smartwatch,Electronics,East,1,817.97,817.97
O100001,2024-11-10,C1457,Air Purifier,Home,South,1,283.0,283.0
O100002,2022-05-02,C2116,Smartwatch,Electronics,North,2,551.25,1102.5
O100003,2023-04-12,C1864,Yoga Mat,Sports,North,1,94.24,94.24
O100004,2022-11-27,C1191,Smartphone,Electronics,South,1,1232.87,1232.87
O100005,2022-03-29,C2034,Air Purifier,Home,Central,4,412.87,1651.48
O100006,2024-05-21,C2149,Smartphone,Electronics,South,1,519.91,519.91
O100007,2022-05-11,C1859,Dumbbells,Sports,South,1,524.07,524.07
O100008,2024-02-09,C1569,Lipstick,Beauty,North,1,114.61,114.61
O100009,2022-12-10,C1865,Microwave,Home,East,2,637.47,1274.94
O100010,2024-03-16,C1318,T-Shirt,Clothing,South,1,36.57,36.57
O100011,2023-01-21,C1209,Jacket,Clothing,North,1,11.97,11.97
O100012,2024-08-13,C1198,Perfume,Beauty,East,3,4.71,14.13
O100013,2022-10-04,C1541,Sneakers,Clothing,North,1,146.53,146.53
O100014,2023-04-05,C2098,Lipstick,Beauty,North,2,27.35,54.7
O100015,2022-01-22,C1161,Perfume,Beauty,Central,3,32.65,97.95
O100016,2022-09-10,C1740,Jeans,Clothing,Central,1,88.22,88.22
O100017,2024-01-18,C1142,Mixer,Home,North,1,671.17,671.17
O100018,2024-05-06,C1592,Air Purifier,Home,North,3,731.96,2195.88
O100019,2023-04-20,C1206,Air Purifier,Home,West,1,157.37,157.37
O100020,2024-12-18,C1928,T-Shirt,Clothing,East,3,147.67,443.01
O100021,2023-05-26,C1758,Microwave,Home,East,2,72.69,145.38
O100022,2023-12-01,C1546,Mixer,Home,North,1,382.51,382.51
O100023,2024-09-02,C1350,Bicycle,Sports,Central,1,1055.71,1055.71
O100024,2022-07-09,C1334,Air Purifier,Home,West,1,759.42,759.42
O100025,2024-08-15,C1552,Perfume,Beauty,Central,1,74.8,74.8
O100026,2023-11-18,C1664,Air Purifier,Home,North,1,450.16,450.16
O100027,2024-08-15,C1065,Air Purifier,Home,East,1,176.48,176.48
O100028,2023-07-17,C1548,Perfume,Beauty,North,1,57.88,57.88
O100029,2024-04-11,C2161,Mixer,Home,East,1,660.1,660.1
O100030,2023-10-09,C2022,Mixer,Home,West,1,472.43,472.43
O100031,2022-01-21,C1292,Lipstick,Beauty,East,1,63.05,63.05
O100032,2024-04-20,C1505,Vacuum Cleaner,Home,Central,1,356.08,356.08
O100033,2022-06-16,C1538,Dumbbells,Sports,Central,2,883.03,1766.06
O100034,2023-01-23,C2195,Moisturizer,Beauty,West,1,66.76,66.76
O100035,2023-08-24,C1449,Sneakers,Clothing,South,1,39.34,39.34
O100036,2022-11-12,C2010,Treadmill,Sports,North,1,158.29,158.29
O100037,2022-01-14,C1224,Laptop,Electronics,South,1,421.15,421.15
O100038,2022-08-30,C1864,Microwave,Home,Central,1,72.11,72.11
O100039,2024-02-16,C1788,Headphones,Electronics,West,1,243.88,243.88
O100040,2023-07-19,C1958,Bicycle,Sports,Central,1,522.87,522.87
O100041,2024-06-16,C2133,T-Shirt,Clothing,North,1,25.39,25.39
O100042,2022-04-02,C2099,Smartwatch,Electronics,East,1,578.45,578.45
O100043,2024-08-13,C1228,Jacket,Clothing,East,1,5.99,5.99
O100044,2023-05-24,C1323,Moisturizer,Beauty,West,1,83.22,83.22
O100045,2024-02-15,C1539,Smartphone,Electronics,Central,3,284.53,853.59
O100046,2022-02-04,C2039,Microwave,Home,North,1,241.77,241.77
O100047,2022-07-25,C2039,Jeans,Clothing,Central,2,129.28,258.56
